timestamp,excluded_group,model_name,r_squared,mae,rmse,medae
2025-10-31 11:43:22,none,LGBM Regressor (Advanced) - Training,0.9727995121773914,0.18528959621845334,0.25370698528700575,0.14743536373270372
2025-10-31 11:43:22,none,LGBM Regressor (Advanced),0.5383621936889127,0.841117380417582,1.047737651405126,0.7058481999829418
2025-10-31 11:43:22,none,Ridge Regression (Baseline) - Training,0.9316244762317285,0.30357964279167254,0.4022484797301758,0.24099806877746976
2025-10-31 11:43:22,none,Ridge Regression (Baseline),0.5119521566776303,0.8621384431648911,1.0772910843431946,0.7510577114855757
2025-10-31 11:43:22,none,"Blended Model (50% LGBM, 50% Ridge)",0.5663545562383192,0.8218280097385572,1.0154750573669662,0.7108952860280477
2025-10-31 11:43:22,none,LinearSVR - Training,0.9490966366583506,0.09735976592172475,0.3470701932054653,4.9765781212185445e-05
2025-10-31 11:43:22,none,LinearSVR,0.49169803789061595,0.8823152570743065,1.099417788967324,0.768936127329074
2025-10-31 11:43:22,none,Final 'BLENDED' on Combined Val+Test Set,0.556467180716486,0.8073054458297609,1.0192411027871273,0.7109269457334935
2025-10-31 11:58:47,title,LGBM Regressor (Advanced) - Training,0.9420844658057238,0.2757228585882163,0.37020443016978505,0.19846141356078917
2025-10-31 11:58:47,title,LGBM Regressor (Advanced),0.3136573344856408,0.9830370879518125,1.2775336999369835,0.752378596161364
2025-10-31 11:58:47,title,Ridge Regression (Baseline) - Training,0.9177947266416109,0.3432537070187234,0.44105618562184556,0.26511740766295455
2025-10-31 11:58:47,title,Ridge Regression (Baseline),0.2615455378946757,1.0719715249331352,1.325145988443592,0.8989115900389075
2025-10-31 11:58:47,title,"Blended Model (50% LGBM, 50% Ridge)",0.3233414656486906,1.0055734449951343,1.2684888336027147,0.8152971517516132
2025-10-31 11:58:47,title,LinearSVR - Training,0.9310427537213581,0.12385921894707738,0.40395597234572256,0.004076835348485575
2025-10-31 11:58:47,title,LinearSVR,0.26824441148447353,1.0651980224419348,1.3191217786919147,0.8547086028709283
2025-10-31 11:58:47,title,Final 'BLENDED' on Combined Val+Test Set,0.381195988700602,0.9547633517169962,1.2039005384439785,0.7925975699874301
2025-10-31 12:02:34,skills,LGBM Regressor (Advanced) - Training,0.9742656112064082,0.17823575839750225,0.24677491290882006,0.12330958800194791
2025-10-31 12:02:34,skills,LGBM Regressor (Advanced),0.4001779353115694,0.9250450631777075,1.1942990459138185,0.7450379967248044
2025-10-31 12:02:34,skills,Ridge Regression (Baseline) - Training,0.9231815426826835,0.31991559830297495,0.426360407866042,0.24504597324539645
2025-10-31 12:02:34,skills,Ridge Regression (Baseline),0.5405135211982477,0.8148149633132363,1.045293463563839,0.613151706816121
2025-10-31 12:02:34,skills,"Blended Model (50% LGBM, 50% Ridge)",0.5004148074706234,0.8532270831890163,1.089950175030273,0.5730306528584181
2025-10-31 12:02:34,skills,LinearSVR - Training,0.9345969656456973,0.11655089623644056,0.39340785515292137,9.585336798800803e-05
2025-10-31 12:02:34,skills,LinearSVR,0.5080053472281991,0.8357713894957598,1.0816383026975007,0.5531164693725978
2025-10-31 12:02:34,skills,Final 'RIDGE' on Combined Val+Test Set,0.5287160694288724,0.7921882619686855,1.0506434671951899,0.5643251181568059
2025-10-31 12:04:38,segment_scores,LGBM Regressor (Advanced) - Training,0.9633320796342895,0.2031540253585948,0.2945691205021625,0.14326182246333707
2025-10-31 12:04:38,segment_scores,LGBM Regressor (Advanced),0.4304176978234472,0.9372360882691114,1.1638047086203325,0.8384663983651128
2025-10-31 12:04:38,segment_scores,Ridge Regression (Baseline) - Training,0.9275426277875659,0.31210554175535093,0.41408106163347297,0.2502682782590959
2025-10-31 12:04:38,segment_scores,Ridge Regression (Baseline),0.5079926142546022,0.8666143303749991,1.0816522991736457,0.8106548637108926
2025-10-31 12:04:38,segment_scores,"Blended Model (50% LGBM, 50% Ridge)",0.5031976520775368,0.875024877602208,1.0869102553823224,0.6849923553684114
2025-10-31 12:04:38,segment_scores,LinearSVR - Training,0.9422415991811128,0.10399265699914238,0.36970187948915617,9.966941259009765e-05
2025-10-31 12:04:38,segment_scores,LinearSVR,0.489893293403981,0.8824049118302899,1.1013678208828108,0.8088065974213534
2025-10-31 12:04:38,segment_scores,Final 'RIDGE' on Combined Val+Test Set,0.5235570032728607,0.8426040136597248,1.056378423935502,0.7687483755230649
2025-10-31 12:06:46,other_tfidf,LGBM Regressor (Advanced) - Training,0.9223641076819599,0.31557529667539735,0.42862288270857657,0.23632346092619927
2025-10-31 12:06:46,other_tfidf,LGBM Regressor (Advanced),0.4663800931811677,0.8580780892218541,1.126465455295847,0.696598781398929
2025-10-31 12:06:46,other_tfidf,Ridge Regression (Baseline) - Training,0.8812213201862589,0.4013293769024336,0.5301677733616378,0.32035623794475154
2025-10-31 12:06:46,other_tfidf,Ridge Regression (Baseline),0.465624501595725,0.8911517058440046,1.1272626957294445,0.6471264920969371
2025-10-31 12:06:46,other_tfidf,"Blended Model (50% LGBM, 50% Ridge)",0.5123242210650749,0.8511976599133131,1.0768803683920456,0.6410754722284366
2025-10-31 12:06:46,other_tfidf,LinearSVR - Training,0.8629793693609034,0.22440125077001238,0.5694256934353755,8.440128383513379e-05
2025-10-31 12:06:46,other_tfidf,LinearSVR,0.4161444690724103,0.9014944265116628,1.178296441228225,0.6774035902018998
2025-10-31 12:06:46,other_tfidf,Final 'BLENDED' on Combined Val+Test Set,0.5351767786742575,0.807423049597424,1.043417116207163,0.656454046211995
